Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API_Sanity_TestSuite,,,2018-08-28 17:32:59,2018-08-28 17:33:04,4.591s,FAILED
,,,,,,
Test Cases/API/SampleApplication/API_comments,,,2018-08-28 17:33:00,2018-08-28 17:33:02,1.823s,PASSED
Start listener action : methodBeforeTestCase,,,2018-08-28 17:33:00,2018-08-28 17:33:00,0.017s,PASSED
Statement - responsejson = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(API/SampleApplication/comments)),,,2018-08-28 17:33:00,2018-08-28 17:33:01,1.046s,PASSED
Statement - println(responseBodyContent),,Print the response body,2018-08-28 17:33:01,2018-08-28 17:33:01,0.023s,PASSED
verifyResponseStatusCode,,,2018-08-28 17:33:01,2018-08-28 17:33:01,0.030s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-28 17:33:01,2018-08-28 17:33:02,0.480s,PASSED
,,,,,,
Test Cases/API/SampleApplication/API_delete_posts_1,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.286s,FAILED
Start listener action : methodBeforeTestCase,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.020s,PASSED
Statement - responsejson = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(API/SampleApplication/delete_posts_1)),,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.006s,FAILED
Start listener action : sampleAfterTestCase,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.009s,PASSED
,,,,,,
Test Cases/API/SampleApplication/API_posts,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.225s,PASSED
Start listener action : methodBeforeTestCase,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.006s,PASSED
Statement - responsejson = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(API/SampleApplication/get_posts)),,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.073s,PASSED
Statement - println(responseBodyContent),,Print the response body,2018-08-28 17:33:02,2018-08-28 17:33:02,0.001s,PASSED
verifyResponseStatusCode,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.001s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.003s,PASSED
,,,,,,
Test Cases/API/SampleApplication/API_posts_1,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.211s,PASSED
Start listener action : methodBeforeTestCase,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.004s,PASSED
Statement - responsejson = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(API/SampleApplication/get_posts_1)),,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.080s,PASSED
Statement - println(responseBodyContent),,Print the response body,2018-08-28 17:33:02,2018-08-28 17:33:02,0.001s,PASSED
verifyResponseStatusCode,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.001s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.005s,PASSED
,,,,,,
Test Cases/API/SampleApplication/API_put_posts_1,,,2018-08-28 17:33:02,2018-08-28 17:33:03,0.819s,PASSED
Start listener action : methodBeforeTestCase,,,2018-08-28 17:33:02,2018-08-28 17:33:02,0.015s,PASSED
Statement - responsejson = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(API/SampleApplication/put_posts_1)),,,2018-08-28 17:33:03,2018-08-28 17:33:03,0.595s,PASSED
Statement - println(responseBodyContent),,Print the response body,2018-08-28 17:33:03,2018-08-28 17:33:03,0.001s,PASSED
verifyResponseStatusCode,,,2018-08-28 17:33:03,2018-08-28 17:33:03,0.002s,PASSED
